frame,time_s,x_pixel,y_pixel,confidence,source
4,0.0867,2548,1645,0.7000,kalman
5,0.1084,3038,1962,0.6000,kalman
6,0.1301,3528,2278,0.5000,kalman
7,0.1517,4019,2595,0.4000,kalman
8,0.1734,4509,2912,0.3000,kalman
75,1.6258,1044,605,0.7000,kalman
76,1.6474,877,496,0.6000,kalman
77,1.6691,710,386,0.5000,kalman
78,1.6908,543,277,0.4000,kalman
79,1.7125,376,168,0.3000,kalman
106,2.2978,2355,1573,0.7000,kalman
107,2.3194,2371,1722,0.8500,detected
108,2.3411,2401,1792,0.8500,detected
109,2.3628,2534,1869,0.7000,kalman
110,2.3845,2618,1954,0.6000,kalman
111,2.4061,2702,2038,0.5000,kalman
112,2.4278,2786,2123,0.4000,kalman
113,2.4495,2869,2207,0.3000,kalman
117,2.5362,1916,819,0.8500,detected
118,2.5579,1694,430,0.7000,kalman
119,2.5796,1421,25,0.6000,kalman
120,2.6012,1148,-379,0.5000,kalman
121,2.6229,874,-783,0.4000,kalman
122,2.6446,601,-1188,0.3000,kalman
126,2.7313,2391,1171,0.7000,kalman
127,2.7530,2940,1900,0.6000,kalman
128,2.7746,3489,2630,0.5000,kalman
129,2.7963,4038,3359,0.4000,kalman
130,2.8180,4587,4089,0.3000,kalman
135,2.9264,1919,1050,0.8500,detected
136,2.9481,1285,188,0.7000,kalman
137,2.9697,590,-638,0.6000,kalman
138,2.9914,-105,-1465,0.5000,kalman
139,3.0131,-800,-2292,0.4000,kalman
140,3.0348,-1495,-3118,0.3000,kalman
157,3.4033,1226,1038,0.7000,kalman
158,3.4249,1410,1356,0.8500,detected
159,3.4466,1580,1574,0.8500,detected
160,3.4683,1885,2015,0.7000,kalman
