frame,time_s,x_pixel,y_pixel,confidence,source
137,2.9697,1429,820,0.1869,tracknet
138,2.9914,1429,837,0.6799,tracknet
139,3.0131,1383,882,0.6917,tracknet
140,3.0348,1329,945,0.6106,tracknet
141,3.0564,1269,1007,0.6320,tracknet
142,3.0781,1216,1076,0.5293,tracknet
143,3.0998,1158,1147,0.4289,yolo
144,3.1215,1157,1148,0.2211,yolo
145,3.1431,1142,1134,0.0000,interp
146,3.1648,1128,1120,0.0000,interp
147,3.1865,1114,1106,0.0000,interp
148,3.2082,1099,1092,0.0000,interp
149,3.2299,1085,1078,0.0000,interp
150,3.2515,1071,1064,0.0000,interp
151,3.2732,1056,1050,0.0000,interp
152,3.2949,1042,1036,0.1910,tracknet
153,3.3166,1035,945,0.2278,tracknet
154,3.3382,1042,905,0.2760,tracknet
