frame,time_s,x_pixel,y_pixel,confidence,source
139,3.0131,1382,899,0.2756,tracknet
140,3.0348,1329,945,0.6633,tracknet
141,3.0564,1269,1007,0.6588,tracknet
142,3.0781,1209,1083,0.6341,tracknet
143,3.0998,1187,1083,0.6343,interpolated
144,3.1215,1165,1083,0.6345,interpolated
145,3.1431,1144,1083,0.6348,interpolated
146,3.1648,1122,1083,0.6350,interpolated
147,3.1865,1101,1083,0.6353,interpolated
148,3.2082,1079,1083,0.6355,interpolated
149,3.2299,1058,1083,0.6358,interpolated
150,3.2515,1036,1083,0.6360,interpolated
151,3.2732,1015,1083,0.6363,tracknet
152,3.2949,1024,1019,0.6844,interpolated
153,3.3166,1033,955,0.7325,interpolated
154,3.3382,1042,891,0.7806,tracknet
155,3.3599,1042,876,0.1658,tracknet
